Company Name,Address,City,State,County,Employee Count,Annual Sales,Industry,Zip1
Birmingham Equipment Mgmt,515 6th Ave S,Birmingham,AL,Jefferson,100 To 249,Unknown,Fitness & Recreational Sports Centers,35205
Birmingham City Jail,425 6th Ave S,Birmingham,AL,Jefferson,1 To 10,Unknown,Fitness & Recreational Sports Centers,35205
North Avondale Library,401 43rd St N,Birmingham,AL,Jefferson,1 To 10,Unknown,Fitness & Recreational Sports Centers,35213
Allstar Pool & Spa,1054 Main St,Gardendale,AL,Jefferson,1 To 10,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,35071
Health Fit,1635c Main Ave Sw,Cullman,AL,Cullman,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35055
Cullman Sportsfit  Wellness,17721 Us Highway 31,Cullman,AL,Cullman,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35058
Talladega College Presidents,702 Battle St W,Talladega,AL,Talladega,1 To 10,Unknown,Fitness & Recreational Sports Centers,35160
Talladega College,627 Battle St W,Talladega,AL,Talladega,1 To 10,Unknown,Fitness & Recreational Sports Centers,35160
Iron Beach Gym,1729 Crestwood Blvd,Irondale,AL,Jefferson,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35210
Radiant Day Spa,7500 Memorial Pkwy Sw Ste 102b,Huntsville,AL,Madison,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35802
"Ronderos, Jennifer K Md",1132 Hillcrest Rd,Mobile,AL,Mobile,1 To 10,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,36695
Silhouettes Day Spa,1151 Hillcrest Rd Ste E,Mobile,AL,Mobile,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36695
Med Spa,8448 Crossland Loop Ste 146,Montgomery,AL,Montgomery,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36117
Rituals Day Spa Inc,621 Boll Weevil Cir Ste 17,Enterprise,AL,Coffee,20 To 49,"$500,000 To $1 Million",Fitness & Recreational Sports Centers,36330
Martin Center,6001 Grelot Rd # A,Mobile,AL,Mobile,1 To 10,$1 To 2.5 Million,Fitness & Recreational Sports Centers,36609
Fusion Spa Salon Orange Beach,4776 Main St Ste 109,Orange Beach,AL,Baldwin,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,36561
Mama Ds Llc,17063 Feder Dr,Foley,AL,Baldwin,10 To 19,"$500,000 To $1 Million",Health Clubs Studios & Gymnasiums,36535
Broad Street Market  Deli,806 S Broad St,Albertville,AL,Marshall,10 To 19,$2.5 To 5 Million,Physical Fitness Facilities,35950
Salon South,2401 County Road 323,Florence,AL,Lauderdale,1 To 10,"Less Than $500,000",Spas,35634
State-Al Welcome Ctr,5651 Highway 90,Theodore,AL,Mobile,50 To 99,Unknown,Health Clubs Studios & Gymnasiums,36582
Rivieria Fittness,1548 Forestdale Blvd,Birmingham,AL,Jefferson,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35214
Anytime Fitness,1874 Slaughter Rd Ste G,Madison,AL,Madison,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35758
J Curtis Color Studio  Salon,528 Gunter Ave,Guntersville,AL,Marshall,1 To 10,"Less Than $500,000",Physical Fitness Facilities,35976
D1 Sports Holdings Llc,7242 Bailey Cove Rd Se,Huntsville,AL,Madison,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,35802
Snap Fitness,1410 S Florida St,Crossett,AR,Ashley,1 To 10,"Less Than $500,000",Fitness & Recreational Sports Centers,71635
